2026-06-25 12:18:55 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:18:55 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:18:55 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 15:39:36 +02:00: [2026-06-25T13:39:36.253Z] Polling Dialfire...
2026-06-25 15:40:36 +02:00: [2026-06-25T13:40:36.255Z] Polling Dialfire...
2026-06-25 15:41:36 +02:00: [2026-06-25T13:41:36.256Z] Polling Dialfire...
2026-06-25 15:42:36 +02:00: [2026-06-25T13:42:36.257Z] Polling Dialfire...
2026-06-25 15:43:36 +02:00: [2026-06-25T13:43:36.258Z] Polling Dialfire...
2026-06-25 15:44:36 +02:00: [2026-06-25T13:44:36.260Z] Polling Dialfire...
2026-06-25 15:45:36 +02:00: [2026-06-25T13:45:36.262Z] Polling Dialfire...
2026-06-25 15:46:36 +02:00: [2026-06-25T13:46:36.263Z] Polling Dialfire...
2026-06-25 15:47:36 +02:00: [2026-06-25T13:47:36.264Z] Polling Dialfire...
2026-06-25 15:48:36 +02:00: [2026-06-25T13:48:36.266Z] Polling Dialfire...
2026-06-25 15:49:36 +02:00: [2026-06-25T13:49:36.267Z] Polling Dialfire...
2026-06-25 15:50:36 +02:00: [2026-06-25T13:50:36.269Z] Polling Dialfire...
2026-06-25 15:51:36 +02:00: [2026-06-25T13:51:36.271Z] Polling Dialfire...
2026-06-25 15:52:36 +02:00: [2026-06-25T13:52:36.272Z] Polling Dialfire...
2026-06-25 15:53:36 +02:00: [2026-06-25T13:53:36.273Z] Polling Dialfire...
2026-06-25 15:54:36 +02:00: [2026-06-25T13:54:36.274Z] Polling Dialfire...
2026-06-25 15:55:36 +02:00: [2026-06-25T13:55:36.276Z] Polling Dialfire...
2026-06-25 15:56:36 +02:00: [2026-06-25T13:56:36.276Z] Polling Dialfire...
2026-06-25 15:57:36 +02:00: [2026-06-25T13:57:36.278Z] Polling Dialfire...
2026-06-25 15:58:36 +02:00: [2026-06-25T13:58:36.279Z] Polling Dialfire...
2026-06-25 15:59:36 +02:00: [2026-06-25T13:59:36.280Z] Polling Dialfire...
2026-06-25 16:00:36 +02:00: [2026-06-25T14:00:36.282Z] Polling Dialfire...
2026-06-25 16:01:36 +02:00: [2026-06-25T14:01:36.283Z] Polling Dialfire...
2026-06-25 16:02:36 +02:00: [2026-06-25T14:02:36.284Z] Polling Dialfire...
2026-06-25 16:03:36 +02:00: [2026-06-25T14:03:36.285Z] Polling Dialfire...
2026-06-25 16:04:36 +02:00: [2026-06-25T14:04:36.285Z] Polling Dialfire...
2026-06-25 16:05:36 +02:00: [2026-06-25T14:05:36.286Z] Polling Dialfire...
2026-06-25 16:06:36 +02:00: [2026-06-25T14:06:36.287Z] Polling Dialfire...
2026-06-25 16:07:36 +02:00: [2026-06-25T14:07:36.288Z] Polling Dialfire...
2026-06-25 16:08:36 +02:00: [2026-06-25T14:08:36.289Z] Polling Dialfire...
2026-06-25 16:09:36 +02:00: [2026-06-25T14:09:36.290Z] Polling Dialfire...
2026-06-25 16:10:36 +02:00: [2026-06-25T14:10:36.293Z] Polling Dialfire...
2026-06-25 16:11:36 +02:00: [2026-06-25T14:11:36.294Z] Polling Dialfire...
2026-06-25 16:12:36 +02:00: [2026-06-25T14:12:36.295Z] Polling Dialfire...
2026-06-25 16:13:36 +02:00: [2026-06-25T14:13:36.296Z] Polling Dialfire...
2026-06-25 16:14:36 +02:00: [2026-06-25T14:14:36.297Z] Polling Dialfire...
2026-06-25 16:15:36 +02:00: [2026-06-25T14:15:36.300Z] Polling Dialfire...
2026-06-25 16:16:36 +02:00: [2026-06-25T14:16:36.303Z] Polling Dialfire...
2026-06-25 16:17:36 +02:00: [2026-06-25T14:17:36.303Z] Polling Dialfire...
2026-06-25 16:18:36 +02:00: [2026-06-25T14:18:36.303Z] Polling Dialfire...
2026-06-25 16:19:36 +02:00: [2026-06-25T14:19:36.305Z] Polling Dialfire...
2026-06-25 16:20:36 +02:00: [2026-06-25T14:20:36.308Z] Polling Dialfire...
2026-06-25 16:21:36 +02:00: [2026-06-25T14:21:36.310Z] Polling Dialfire...
2026-06-25 16:22:36 +02:00: [2026-06-25T14:22:36.311Z] Polling Dialfire...
2026-06-25 16:23:36 +02:00: [2026-06-25T14:23:36.312Z] Polling Dialfire...
2026-06-25 16:24:36 +02:00: [2026-06-25T14:24:36.313Z] Polling Dialfire...
2026-06-25 16:25:36 +02:00: [2026-06-25T14:25:36.315Z] Polling Dialfire...
2026-06-25 16:26:36 +02:00: [2026-06-25T14:26:36.316Z] Polling Dialfire...
2026-06-25 16:27:36 +02:00: [2026-06-25T14:27:36.317Z] Polling Dialfire...
2026-06-25 16:28:36 +02:00: [2026-06-25T14:28:36.320Z] Polling Dialfire...
2026-06-25 16:29:36 +02:00: [2026-06-25T14:29:36.322Z] Polling Dialfire...
2026-06-25 16:30:36 +02:00: [2026-06-25T14:30:36.324Z] Polling Dialfire...
2026-06-25 16:31:36 +02:00: [2026-06-25T14:31:36.326Z] Polling Dialfire...
2026-06-25 16:32:36 +02:00: [2026-06-25T14:32:36.326Z] Polling Dialfire...
2026-06-25 16:33:36 +02:00: [2026-06-25T14:33:36.327Z] Polling Dialfire...
2026-06-25 16:34:36 +02:00: [2026-06-25T14:34:36.327Z] Polling Dialfire...
2026-06-25 16:35:36 +02:00: [2026-06-25T14:35:36.330Z] Polling Dialfire...
2026-06-25 16:36:36 +02:00: [2026-06-25T14:36:36.332Z] Polling Dialfire...
2026-06-25 16:37:36 +02:00: [2026-06-25T14:37:36.335Z] Polling Dialfire...
2026-06-25 16:38:36 +02:00: [2026-06-25T14:38:36.339Z] Polling Dialfire...
2026-06-25 16:39:36 +02:00: [2026-06-25T14:39:36.341Z] Polling Dialfire...
2026-06-25 16:40:36 +02:00: [2026-06-25T14:40:36.343Z] Polling Dialfire...
2026-06-25 16:41:36 +02:00: [2026-06-25T14:41:36.346Z] Polling Dialfire...
2026-06-25 16:42:36 +02:00: [2026-06-25T14:42:36.348Z] Polling Dialfire...
2026-06-25 16:43:36 +02:00: [2026-06-25T14:43:36.350Z] Polling Dialfire...
2026-06-25 16:44:36 +02:00: [2026-06-25T14:44:36.352Z] Polling Dialfire...
2026-06-25 16:45:36 +02:00: [2026-06-25T14:45:36.354Z] Polling Dialfire...
2026-06-25 16:46:36 +02:00: [2026-06-25T14:46:36.356Z] Polling Dialfire...
2026-06-25 16:47:36 +02:00: [2026-06-25T14:47:36.370Z] Polling Dialfire...
2026-06-25 16:48:36 +02:00: [2026-06-25T14:48:36.359Z] Polling Dialfire...
2026-06-25 16:49:36 +02:00: [2026-06-25T14:49:36.359Z] Polling Dialfire...
2026-06-25 16:50:36 +02:00: [2026-06-25T14:50:36.360Z] Polling Dialfire...
2026-06-25 16:51:36 +02:00: [2026-06-25T14:51:36.362Z] Polling Dialfire...
2026-06-25 16:52:36 +02:00: [2026-06-25T14:52:36.362Z] Polling Dialfire...
2026-06-25 16:53:36 +02:00: [2026-06-25T14:53:36.363Z] Polling Dialfire...
